Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
Sherlock Holmes,2009,★★★★,2h 08min,5.89,HD1080,x265,Bit10,AAC,5.1,VOB,2342407235,1,20
Outrage,2010,★★★,1h 49min,5.95,HD1080,x265,Bit10,AC3,5.1,SRT,3964594679,1,3
Hacksaw Ridge,2016,★★★★,2h 19min,4.71,HD1080,x265,Bit10,AAC,7.1,VOB,874142547,1,2
Shane,1953,★★★★,1h 58min,4.57,HD1080,x265,Bit10,AAC,2.0,PGS,417291108,3,3
Life of Brian,1979,★★★★,1h 33min,1.96,HD1080,x265,Bit10,AAC,5.1,SRT,2893651322,1,1
Birdman or The Unexpected Virtue of Ignorance,2014,★★★½,1h 59min,4.37,HD1080,x265,Bit10,AAC,5.1,PGS,2454928964,1,1
The Hangover,2009,★★★,1h 47min,4.26,HD1080,x265,Bit10,AC3,5.1,SRT,1201449861,1,2
Kingdom of Heaven,2005,★★★,3h 13min,9.01,HD1080,x265,Bit10,AAC,5.1,VOB,2484685667,4,3
Hell or High Water,2016,★★★★,1h 42min,4.61,HD1080,x265,Bit10,AAC,5.1,PGS,3566941724,1,21
The Prince of Egypt,1998,★★★★,1h 39min,3.05,HD1080,x265,Bit10,AAC,5.1,VOB,3212614560,2,10
Flight,2012,★★★★,2h 18min,4.85,HD1080,x265,Bit10,AAC,2.0,SRT,2102597712,2,1
Dreams,1990,,1h 59min,5.59,HD1080,x265,Bit10,AAC,2.0,SRT,3922375081,1,2
Interstellar,2014,,2h 49min,6.48,HD1080,x265,Bit10,AAC,5.1,VOB,1482295018,1,21
Collateral,2004,★★★★½,1h 59min,17.35,HD1080,x265,Bit10,EAC3,5.1,SRT,3613601511,2,30
Prisoners,2013,★★★★,2h 33min,4.18,HD1080,x265,Bit10,AAC,5.1,VOB,324540954,1,3
Chinatown,1974,★★★★,2h 10min,2.57,HD1080,x265,Bit10,AAC,5.1,SRT,3644200680,1,1
Moon,2009,★★★★,1h 37min,5.05,HD1080,x265,Bit10,AAC,5.1,PGS,3872393949,1,2
Twin Peaks - Fire Walk With Me,1992,★★★★,2h 15min,5.24,HD1080,x265,Bit10,AAC,7.1,VOB,3374196368,1,1
Hereditary,2018,,2h 07min,4.39,HD1080,x265,Bit10,AAC,5.1,VOB,221033776,1,3
Threads,1984,★★★★,1h 52min,5.22,HD1080,x265,Bit10,AC3,2.0,PGS,338628962,3,1
La La Land,2016,★★★★½,2h 07min,10.47,UHD4K,x265,Bit10,AAC,7.1,VOB,1946160561,2,2
In Bruges,2008,★★★★,1h 46min,4.39,HD1080,x265,Bit10,AAC,5.1,PGS,2050732045,1,3
Casino Royale,2006,★★★★,2h 24min,7.12,HD1080,x265,Bit10,DTS,5.1,VOB,2071753604,4,25
Inception,2010,★★★★,2h 28min,6.65,HD1080,x265,Bit10,AAC,5.1,VOB,2492406338,1,8
Hardcore Henry,2015,,1h 36min,2.07,HD1080,x265,Bit10,AAC,5.1,SRT,2531063211,1,2
Murder on the Orient Express,2017,★★★½,1h 53min,4.24,HD1080,x265,Bit10,AAC,7.1,VOB,2647199789,2,30
